paper_id,title,size_bytes,sha256,canonical_sha256,abstract_chars,creator_count,section_count,paragraph_count,body_text_chars,figure_count,table_count,math_count,bibitem_count,quality_tier
01KT6MTARQMB6JVJNZA9PJVTS2,3D Gaussian Splatting for Real-Time Radiance Field Rendering,879234,922cc4f49dc70efad9b61d8c6f3b37fd1c68a3ca6d566a466e5026d42732c322,0b68ee9e95f2b9d8730d96fc89f658626a6100d1a5b235c5e4f55f5f35e4d562,1401,4,8,98,49345,12,9,254,62,clean
01KT6MTAV29W6T24SDMY82FE2W,AdvPrompter: Fast Adaptive Adversarial Prompting for LLMs,977378,96a944706e86446ad4ab52415e70fdd9d541f1f1add50c2cc3cc9f9c375d0185,732f80c1053bdf8a4d22ffefa2949ece0aa3a4dc20839361185126ceb96f4155,1099,5,7,310,78508,9,16,386,61,clean
01KT6MTAXJAK2QK11TX6A3PSK9,An Interactive Agent Foundation Model,414982,4115ca45d4039afe2f1e4d8ec98b15afa8c836fa8961c36d33137530629347e7,c2721d5653638e1b382f63d4a1bef2d9ea0b8e5a37d4d4ebf1afed37ae7c80ac,1137,20,10,133,38827,12,9,104,64,clean
01KT6MTAYT3WS9GJYSHJZTEDV8,Agent-FLAN: Designing Data and Methods of Effective Agent Tuning for Large Language Models,347773,75e2f683891317e6646bd994657f2d732abd20e5c687c1ac1ab87ae25ff885a2,bbaaf303abdf45067b130858ef3dc5b471737129e42f9a07d381dac7dfd103a5,1327,8,8,49,27513,11,6,14,57,clean
01KT6MTAZE35N5SCANV6BD53B2,A Survey on the Optimization of Large Language Model-based Agents,876136,9bb4eee23be85560facf93093e1916f19384811f663ae85fc325a799f73b1c6d,63d9ee2853febdd6138d0cefb36881cffa0ca921868dcc07c3d10e18a4dea5c1,1461,7,9,198,84820,4,11,33,221,clean
01KT6MTB78KZ655KA5WHJM2HAT,AgentVerse: Facilitating Multi-Agent Collaboration and Exploring Emergent Behaviors,331510,5946d956ddd692170d9c3c0cbb9dff09179409e5b716eb7f7f5ff54a30c2c23b,384936d3966ad6d3b699fa2bf33e9a3e6092a245b8850c82023045b1ce77007a,1013,1,6,163,58444,22,2,36,57,clean
01KT6MTBAX5KP4T63JGE06AGT0,"Navigating the Risks: A Survey of Security, Privacy, and Ethics Threats in LLM-Based Agents",1256607,76a0565a48e37b11c8d0d836a328dc9f3a37c70ce3e951cd56ab17caf01d5c51,80afa889401a7badf3f1824981cbc1adb6ea71f956a5513699612253f219362d,1320,13,8,266,120800,12,5,19,338,clean
01KT6MTBBH03MN0Z6PK902XKC2,Attention Is All You Need,403427,a27a8bc6d75cf015c801fbda9bf302c84441429f9305c33ae7216576cd7c9a34,280c26d874c3921351976d4f8f31fe7cac9a528db627f172129094a9be37952b,1139,2,8,67,25564,5,4,150,40,clean
01KT6MTBDEMWQ25JAYJS41557J,Autoformer: Decomposition Transformers with Auto-Correlation for Long-Term Series Forecasting,1755500,1c1d0b6feef63556b7790a6d2e0466088c1e5734ef7ecedce031b166256f4282,4f7c30bf0c4cb0029c02cf9a49d5ce903344a9d5a1476c860c55c93e79a5b5e1,1545,1,6,454,44937,14,11,579,48,clean
01KT6MTBJK7DP8PCE11TKQ4VES,BEiT: BERT Pre-Training of Image Transformers,674156,10025362423844f9863e2455db7b1df5ec3740fd364bb4e631dde722c68edb6b,71013cc677d59de41403d273cdd5046e6e0fdfbfc6e120ce85982684198e83ce,997,1,5,66,36830,5,13,231,49,clean
01KT6MTBM67AR6QWR5A1CCMGXT,BioPlanner: Automatic Evaluation of LLMs on Protocol Planning in Biology,273911,bb2ac7f265d520606e1239f8b39231ebf89a0218ef44f2d9c19a9544b8cc7852,465ea94c0a5af2edf5a08fffdec043ed1dc26e8da1827797e73cea9f7f73a026,1749,1,7,74,31606,13,10,99,51,clean
01KT6MTBN025FXX4PX987N2MXM,BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and Large Language Models,256450,14dc07c7028549fb58d5f7a47d8df43c9f9c1ff9ce6dbed1740d58d6664588fc,7ef0a585cd812d8ac3284f4f2484647223202d7f0efdcb74bd7af3b2511619b1,1046,5,6,44,23827,7,9,52,45,clean
01KT6MTBNFZ5YPXA8HCDYF2W37,Block-Recurrent Transformers,468276,459a77c525f7b7a9bd5c8b265cb79a9b12c81ec2c63c391fbf2063ba9395416f,340422dfb86c27a14d2b558b80caeefd880c6e6b6f931405601053b3f725674a,1202,3,6,156,62782,7,5,152,54,clean
